winter,where,mean,lwr,upr
1987,total,24574.24856,21034.95,34563.175
1988,total,21684.66533,15778.975,31526.3
1989,total,20445.15933,15421.875,29851.45
1990,total,20463.34744,14080.975,29751.225
1991,total,21592.30167,15079.875,30643.05
1992,total,22079.817,15459.975,30612.025
1993,total,22726.72233,19578.875,28870.25
1994,total,21228.35589,14441.775,30702.075
1995,total,19786.142,12116.825,30930.825
1996,total,18390.41856,10728.9,29979.375
1997,total,17050.81744,9728.675,28460.175
1998,total,15805.319,9124.925,26132
1999,total,14548.51889,8823.95,23273.175
2000,total,13384.29389,8964.925,20021.175
2001,total,12299.78589,10263.875,16373.125
2002,total,11346.47744,9469.975,15097.15
2003,total,10364.34156,8646,13521.275
2004,total,9935.679778,8488,12845.1
2005,total,9553.533556,7675.975,12293.325
2006,total,9203.847778,7494.975,11690.025
2007,total,8974.520778,7507.975,11071.05
2008,total,8259.639222,7358,9942.075
2009,total,6990.920444,5781,8644.05
2010,total,6169.688889,5040,7806.025
2011,total,5700.552222,4550.975,7269.125
2012,total,5592.753667,4553,7113.025
2013,total,5888.224,4429.975,7728.1
2014,total,6124.406778,5244.975,7688
2015,total,6428.597333,5432,8198
2016,total,7225.255333,6315.975,8805.025
2017,total,7986.234222,7599,9115.075
2018,total,7523.564444,5799.9,9827
2019,total,6980.668,6074,9206.025
2020,total,7086.696111,5144.975,9847.075
2021,total,7130.029333,5164.975,9825
2022,total,7097.940667,6146.95,9234.225
2023,total,7048.719111,4677.95,10551.15
2024,total,7002.926667,4025.975,11643.225
